"No.","Time","Source","Destination","Protocol","Length","Info"
"969","37.056914452","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","111","Application Data"
"970","37.056914632","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","2848","Application Data"
"971","37.056914678","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","362","Application Data"
"981","37.056984491","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","2848","Application Data [TCP segment of a reassembled PDU]"
"982","37.056984538","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","2848","Application Data [TCP segment of a reassembled PDU]"
"995","37.057075929","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","2848","Application Data [TCP segment of a reassembled PDU]"
"996","37.057075976","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","2848","Application Data [TCP segment of a reassembled PDU]"
"997","37.057076022","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1511","Application Data, Application Data"
"1003","38.468468304","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a00:a040:0:4:face:b00c:3333:7020","TLSv1.3","677","Application Data"
"1005","38.575361476","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f273:c8:face:b00c:0:167","TLSv1.2","181","Application Data"
"1006","38.624306429","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","732","Application Data"
"1008","38.624666156","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","111","Application Data"
"1012","38.630089368","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","221","Application Data"
"1016","38.633208887","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1034","38.650626330","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1036","38.654046739","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1039","38.656532717","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1053","38.671774770","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1054","38.674500555","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1056","38.677223611","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1071","38.697697018","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1072","38.700245031","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1074","38.703164292","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1089","38.719055612","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1090","38.720965960","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1108","38.738837440","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1109","38.740670525","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1111","38.742419455","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1114","38.744528634","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1118","38.749878872","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1120","38.752643136","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","178","Application Data"
"1122","39.223098618","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a00:a040:0:4:face:b00c:3333:7020","TLSv1.3","678","Application Data"
"1124","39.315302328","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","771","Application Data"
"1128","39.318251802","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","229","Application Data"
"1150","39.337762852","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1152","39.339411978","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1169","39.356183623","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1171","39.359458173","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1187","39.374257615","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1189","39.376153374","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1190","39.376768480","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1195","39.382724714","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1198","39.386183763","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"1199","39.386548002","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","154","Application Data"
"1202","39.574560718","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f273:c8:face:b00c:0:167","TLSv1.2","181","Application Data"
"1204","39.745472174","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","468","Application Data"
