"No.","Time","Source","Destination","Protocol","Length","Info"
"2068","33.674542833","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TLSv1.3","686","Application Data"
"2069","33.681206557","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","88","443  >  60826 [ACK] Seq=292926 Ack=3572 Win=30976 Len=0 TSval=3910141522 TSecr=1172677047"
"2070","33.687451120","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.2","363","Application Data"
"2071","33.687478599","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","58422  >  443 [ACK] Seq=1689 Ack=11093 Win=1730 Len=0 TSval=4265897561 TSecr=2392224575"
"2072","33.691008324","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","681","Application Data"
"2073","33.693314806","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1326","Application Data"
"2074","33.693325336","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=572730 Win=398080 Len=0 TSval=1172677077 TSecr=174265923"
"2075","33.695102752","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=572730 Ack=6750 Win=31488 Len=1380 TSval=174265923 TSecr=1172676733 [TCP segment of a reassembled PDU]"
"2076","33.695680134","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2077","33.695720473","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=575490 Win=403584 Len=0 TSval=1172677080 TSecr=174265923"
"2078","33.697058432","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2079","33.697798646","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2080","33.697822510","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=578250 Win=409088 Len=0 TSval=1172677082 TSecr=174265923"
"2081","33.699964127","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","647","Application Data"
"2082","33.700788137","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=578809 Ack=6750 Win=31488 Len=1380 TSval=174265924 TSecr=1172676733 [TCP segment of a reassembled PDU]"
"2083","33.700793034","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=580189 Win=414720 Len=0 TSval=1172677085 TSecr=174265923"
"2084","33.702378641","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2085","33.702992297","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=581569 Ack=6750 Win=31488 Len=1380 TSval=174265924 TSecr=1172676733 [TCP segment of a reassembled PDU]"
"2086","33.703003707","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=582949 Win=420224 Len=0 TSval=1172677087 TSecr=174265924"
"2087","33.703911070","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=582949 Ack=6750 Win=31488 Len=1380 TSval=174265924 TSecr=1172676733 [TCP segment of a reassembled PDU]"
"2088","33.704494121","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","817","Application Data"
"2089","33.704513178","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=585058 Win=425728 Len=0 TSval=1172677089 TSecr=174265924"
"2090","33.705691734","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=585058 Ack=6750 Win=31488 Len=1380 TSval=174265925 TSecr=1172676733 [TCP segment of a reassembled PDU]"
"2091","33.706284562","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=586438 Ack=6750 Win=31488 Len=1380 TSval=174265925 TSecr=1172676733 [TCP segment of a reassembled PDU]"
